# logMstar	medFbar		sigma_low	sigma_high
9.12   0.3386   0.0557   0.0855
9.38   0.4913   0.0547   0.0750
9.62   0.5570   0.0480   0.0621
9.88   0.6899   0.0489   0.0561
10.12   0.5440   0.0668   0.0600
10.38   0.5296   0.0443   0.0428
10.62   0.5263   0.0656   0.0506
10.88   0.4038   0.0629   0.0795
11.12   0.6500   0.1045   0.1000
