# logMstar	medFbar		sigma_low	sigma_high
9.12   0.0126   0.0071   0.0079
9.38   0.0251   0.0091   0.0111
9.62   0.0798   0.0223   0.0246
9.88   0.0899   0.0303   0.0366
10.12   0.0957   0.0219   0.0254
10.38   0.2310   0.0403   0.0480
10.62   0.2476   0.0519   0.0451
10.88   0.3125   0.0625   0.0721
11.12   0.5858   0.1058   0.1179
