# Bar presence as function of g-r for D < 25 Mpc and logMstar > 8.5, with B-V and V_max weights
logmstar   gmr   weight   bar
10.848   0.722   1.064    0
11.334   0.744   1.000    1
9.974   0.223   1.669    0
9.836   0.302   1.396    1
10.881   0.575   1.000    1
10.062   0.155   1.057    1
10.521   0.624   1.000    0
9.538   0.199   2.310    1
8.978   0.253   2.812    0
10.443   0.651   1.000    0
10.362   0.374   1.230    1
10.069   0.445   1.489    1
10.355   0.694   1.201    0
10.946   0.346   1.000    0
10.653   0.518   1.050    0
10.778   0.558   1.000    0
9.739   0.440   1.000    1
9.899   0.573   1.216    1
9.938   0.284   1.471    1
10.892   0.435   1.000    0
10.404   0.763   1.000    1
8.747   0.216   1.431    0
11.037   0.479   1.000    1
10.832   0.294   1.000    0
10.673   0.464   1.002    1
8.722   0.186   2.517    0
8.557   0.398   10.077    0
10.614   0.423   1.006    0
10.622   0.309   1.000    0
9.133   0.333   4.585    0
9.318   0.270   1.062    0
9.291   0.116   2.728    1
9.860   0.271   1.633    1
10.567   0.445   1.115    1
10.775   0.594   1.161    1
10.411   0.468   1.125    1
10.036   0.483   1.682    1
10.050   0.349   1.414    0
9.854   0.364   1.405    1
10.082   0.321   1.125    1
10.451   0.438   1.172    1
10.601   0.714   1.225    0
10.117   0.344   1.463    1
10.526   0.384   1.058    0
11.025   0.763   1.038    0
10.172   0.194   1.197    1
9.802   0.360   1.179    1
10.014   0.281   1.007    1
10.212   0.568   1.469    1
10.445   0.513   1.141    1
10.523   0.546   1.089    1
10.649   0.561   1.049    1
10.238   0.603   1.819    0
10.052   0.418   1.640    0
9.554   0.078   1.032    0
10.830   0.759   1.138    0
9.801   0.284   1.111    1
10.343   0.537   1.394    0
9.674   0.239   1.644    1
10.766   0.797   1.066    0
9.705   0.479   1.200    1
9.130   0.283   2.789    1
8.715   0.365   3.668    0
9.457   0.224   2.033    1
9.199   0.305   3.575    0
9.846   0.320   1.656    1
9.650   0.279   2.062    0
8.829   0.250   13.287    0
8.818   0.157   2.680    0
8.677   0.324   3.446    1
8.502   0.318   2.742    0
8.811   0.377   3.392    1
8.917   0.370   2.909    0
9.096   0.311   3.043    1
9.506   0.220   1.450    1
9.202   0.475   3.542    1
8.801   0.178   2.906    0
8.933   0.130   3.363    1
8.857   0.237   3.557    0
9.063   0.348   3.912    0
9.038   0.146   3.054    1
8.911   0.181   3.675    1
8.548   0.244   3.993    1
9.014   0.260   2.966    0
8.822   0.183   14.440    0
8.992   0.165   3.617    1
8.643   0.457   6.879    0
9.077   0.140   2.491    0
9.156   0.175   2.663    1
8.841   0.211   3.383    1
9.525   0.284   2.816    1
10.152   0.315   1.688    1
8.843   0.173   6.606    1
8.841   0.248   2.882    1
8.965   0.292   3.371    1
