# logMstar	medFbar		sigma_low	sigma_high
9.12   0.0747   0.0408   0.1205
9.38   0.0874   0.0489   0.1676
9.62   0.1577   0.0360   0.2053
9.88   0.2142   0.0743   0.2221
10.12   0.2072   0.0798   0.1610
10.38   0.3512   0.0592   0.1094
10.62   0.3777   0.0777   0.1073
10.88   0.3806   0.0354   0.0330
