# logMstar	medFbar		sigma_low	sigma_high
9.12   0.1178   0.0334   0.0739
9.38   0.1600   0.0396   0.1098
9.62   0.2359   0.0623   0.1312
9.88   0.3012   0.0595   0.1527
10.12   0.2925   0.0617   0.0909
10.38   0.4102   0.0577   0.0627
10.62   0.4487   0.0671   0.0626
10.88   0.3943   0.0610   0.0839
11.12   0.6500   0.1045   0.1000
