# Bar presence as function of log(M_star/M_sun) for D < 25 Mpc, with V_max weights
logmstar   weight   bar
10.883   1.000    0
9.747   1.000    1
9.929   1.000    1
9.802   1.000    1
9.278   3.074    1
10.718   1.000    1
10.576   1.000    1
9.845   1.000    0
9.080   2.395    0
10.131   1.000    1
10.001   1.000    0
9.839   1.000    1
9.741   1.000    1
10.153   1.000    1
8.934   3.368    0
9.668   1.000    1
9.092   1.710    1
9.448   1.000    1
9.717   1.000    1
9.204   1.000    1
10.695   1.000    1
10.262   1.000    1
9.877   1.000    1
10.696   1.000    1
10.004   1.000    1
9.065   3.665    1
10.734   1.000    0
10.254   1.000    0
9.813   1.000    0
10.095   1.000    0
9.728   1.000    1
9.540   1.021    0
9.571   1.000    1
9.809   1.000    0
9.466   1.000    1
9.071   10.408    1
9.702   1.000    1
9.523   1.000    0
9.738   1.000    0
10.317   1.000    1
10.485   1.000    1
9.235   1.000    1
9.667   1.000    1
10.495   1.000    0
10.479   1.000    1
10.848   1.000    0
9.974   1.000    0
9.836   1.000    1
8.896   2.489    0
10.881   1.000    1
10.062   1.000    1
10.521   1.000    0
9.538   1.076    1
10.095   1.000    1
9.941   1.000    0
10.463   1.000    0
8.978   1.000    0
10.443   1.000    0
10.362   1.000    1
10.069   1.000    1
9.019   1.965    0
10.355   1.000    0
9.326   1.000    1
10.443   1.000    1
8.901   1.686    1
10.946   1.000    0
9.909   1.000    1
10.653   1.000    0
10.778   1.000    0
9.739   1.000    1
9.899   1.000    1
9.938   1.000    1
10.892   1.000    0
10.404   1.000    1
8.747   1.254    0
10.832   1.000    0
10.673   1.000    1
8.722   2.517    0
8.557   6.680    0
10.088   1.000    0
10.614   1.000    0
10.622   1.000    0
9.133   4.170    0
9.006   2.144    1
9.318   1.000    0
9.291   1.043    1
9.719   1.000    1
9.860   1.000    1
10.162   1.000    1
10.567   1.000    1
10.111   2.512    0
9.363   1.591    1
10.775   1.000    1
9.111   1.000    1
10.411   1.000    1
9.740   1.000    0
10.036   1.000    1
10.050   1.000    0
9.854   1.000    1
10.082   1.000    1
10.451   1.000    1
9.620   1.000    1
9.217   2.165    1
10.601   1.000    0
10.117   1.000    1
9.573   1.000    1
10.526   1.000    0
10.172   1.000    1
9.802   1.000    1
10.373   1.000    1
10.014   1.000    1
9.973   1.000    1
10.212   1.000    1
10.445   1.000    1
10.523   1.000    1
10.649   1.000    1
10.238   1.000    0
10.052   1.000    0
9.554   1.000    0
10.830   1.000    0
9.801   1.000    1
10.343   1.000    0
9.674   1.000    1
9.681   1.000    0
9.604   1.000    1
10.766   1.000    0
9.060   1.000    1
9.705   1.000    1
8.695   1.000    1
9.130   1.000    1
9.742   1.000    1
8.715   1.000    0
8.705   1.029    1
9.108   1.000    0
9.582   1.000    0
9.031   1.627    1
9.160   1.000    1
9.327   1.000    1
8.948   1.000    1
9.578   1.000    1
9.079   1.000    0
9.457   1.000    1
8.875   1.356    1
9.230   1.000    0
8.741   3.064    1
9.812   1.000    1
9.637   1.000    1
8.637   1.000    0
9.995   1.000    0
9.199   1.000    0
9.646   1.000    0
9.846   1.000    1
9.504   1.000    0
9.251   1.000    1
9.650   1.000    0
9.003   1.000    0
8.829   3.628    0
8.818   1.000    0
8.684   4.412    0
8.677   1.000    1
9.395   1.000    0
9.485   1.000    0
8.609   1.000    0
8.502   1.000    0
8.811   1.000    1
9.371   1.000    1
8.758   1.107    1
9.559   1.368    0
9.320   1.853    0
8.917   1.000    0
8.924   1.046    1
9.283   1.000    1
8.779   1.000    1
8.960   1.754    0
8.763   1.596    1
9.119   1.000    1
9.096   1.000    1
8.694   1.521    0
9.506   1.000    1
9.202   1.000    1
9.179   1.493    1
9.173   2.477    1
9.024   1.000    1
8.801   1.000    0
9.024   2.242    0
8.597   1.000    0
8.933   1.396    1
8.857   1.000    0
8.562   3.255    0
9.063   1.318    0
9.424   1.000    0
8.945   1.342    0
9.622   1.000    0
9.227   1.000    0
9.027   1.000    1
8.758   2.058    0
8.658   1.361    0
9.038   1.000    1
8.911   1.000    1
8.757   1.572    0
8.937   1.000    0
9.484   1.000    1
8.906   4.263    0
9.633   1.128    1
9.039   2.197    1
8.548   1.000    1
8.508   1.326    1
9.409   1.000    1
9.014   1.000    0
9.635   1.000    1
8.748   1.000    1
9.512   1.000    1
8.572   2.645    0
9.434   1.000    1
8.816   1.630    1
8.686   1.000    1
8.822   7.548    0
8.528   1.000    1
8.992   1.000    1
8.643   2.277    0
8.760   1.010    1
9.500   1.000    1
9.286   1.000    1
9.430   1.000    1
8.755   1.000    1
9.077   1.000    0
9.156   1.000    1
8.841   1.000    1
9.525   1.000    1
9.481   1.000    0
10.152   1.000    1
8.977   2.218    1
8.825   1.000    0
8.584   1.000    1
9.388   1.000    0
9.238   1.000    0
8.843   1.756    1
9.179   1.057    1
9.180   2.688    1
8.841   1.000    1
9.148   1.000    1
9.005   1.000    1
9.314   1.000    1
8.965   1.155    1
8.703   1.000    1
9.390   1.000    1
8.687   1.000    1
8.991   2.879    0
