# logMstar	medFbar		sigma_low	sigma_high
9.12   0.1953   0.0379   0.0384
9.38   0.2722   0.0424   0.0479
9.62   0.3606   0.0428   0.0456
9.88   0.4418   0.0442   0.0468
10.12   0.3806   0.0439   0.0458
10.38   0.4636   0.0498   0.0436
10.62   0.4885   0.0466   0.0448
10.88   0.3958   0.0625   0.0863
11.12   0.6316   0.0899   0.1184
