# logMstar	medFbar		sigma_low	sigma_high
9.12   0.0405   0.0188   0.0273
9.38   0.0445   0.0162   0.0320
9.62   0.1262   0.0265   0.0363
9.88   0.1543   0.0383   0.0493
10.12   0.1421   0.0379   0.0596
10.38   0.3074   0.0384   0.0465
10.62   0.3144   0.0494   0.0752
10.88   0.3636   0.0559   0.0887
11.12   0.6364   0.1100   0.0909
