# logMstar	medFbar		sigma_low	sigma_high
9.12   0.2358   0.0435   0.0536
9.38   0.3769   0.0542   0.0639
9.62   0.4369   0.0471   0.0427
9.88   0.5313   0.0535   0.0858
10.12   0.4286   0.0510   0.0511
10.38   0.4958   0.0549   0.0408
10.62   0.5119   0.0536   0.0426
10.88   0.4118   0.0718   0.0760
11.12   0.6500   0.1115   0.1000
