logmstar   log_sma_kpc
10.415   0.406
10.415   0.513
10.415   0.431
10.415   0.411
10.415   0.542
10.416   0.450
10.416   0.501
10.416   0.450
10.416   0.680
10.418   0.580
10.418   0.415
10.418   0.467
10.418   0.677
10.419   0.757
10.419   0.152
10.419   0.591
10.420   0.427
10.420   0.372
10.420   0.382
10.420   0.521
10.421   0.626
10.421   0.436
10.422   0.457
10.422   0.521
10.422   0.417
10.423   0.548
10.423   0.631
10.423   0.609
10.424   0.586
10.425   0.622
10.425   0.385
10.425   0.723
10.427   0.209
10.427   0.712
10.427   0.381
10.427   0.602
10.427   0.289
10.428   0.380
10.428   0.620
10.428   0.538
10.428   0.646
10.428   0.590
10.428   0.376
10.429   0.520
10.429   0.596
10.430   0.267
10.430   0.642
10.430   0.565
10.430   0.395
10.430   0.508
10.431   0.408
10.431   0.607
10.431   0.269
10.431   0.588
10.431   0.559
10.432   0.594
10.432   0.372
10.432   0.319
10.433   0.437
10.433   0.611
10.433   0.280
10.433   0.409
10.433   0.607
10.433   0.607
10.433   0.583
10.434   0.646
10.434   0.637
10.434   0.569
10.434   0.542
10.434   0.427
10.435   0.434
10.435   0.442
10.435   0.430
10.435   0.362
10.436   0.681
10.436   0.491
10.438   0.501
10.438   0.416
10.438   0.398
10.438   0.455
10.438   0.730
10.439   0.620
10.439   0.504
10.440   0.352
10.440   0.629
10.440   0.424
10.441   0.409
10.442   0.421
10.442   0.651
10.442   0.609
10.442   0.424
10.442   0.480
10.442   0.462
10.444   0.481
10.444   0.517
10.444   0.625
10.445   0.373
10.445   0.495
10.446   0.596
10.446   0.614
10.446   0.489
10.446   0.517
10.447   0.409
10.447   0.405
10.447   0.281
10.447   0.400
10.447   0.441
10.447   0.652
10.448   0.665
10.448   0.472
10.448   0.447
10.448   0.822
10.448   0.774
10.448   0.300
10.449   0.585
10.449   0.524
10.449   0.402
10.449   0.396
10.450   0.495
10.450   0.507
10.450   0.090
10.451   0.647
10.451   0.604
10.452   0.564
10.452   0.429
10.452   0.581
10.452   0.682
10.452   0.484
10.452   0.560
10.453   0.499
10.453   0.518
10.454   0.653
10.454   0.500
10.454   0.532
10.455   0.394
10.455   0.308
10.455   0.513
10.455   0.297
10.455   0.580
10.455   0.540
10.456   0.374
10.456   0.628
10.456   0.544
10.456   0.360
10.457   0.539
10.457   0.497
10.458   0.566
10.458   0.760
10.458   0.277
10.458   0.625
10.460   0.486
10.460   0.663
10.460   0.726
10.461   0.447
10.461   0.481
10.461   0.521
10.461   0.461
10.462   0.824
10.462   0.568
10.462   0.266
10.463   0.550
10.463   0.500
10.463   0.680
10.464   0.498
10.464   0.428
10.465   0.238
10.465   0.469
10.465   0.498
10.465   0.467
10.466   0.467
10.466   0.593
10.466   0.556
10.466   0.601
10.467   0.857
10.468   0.487
10.468   0.367
10.469   0.455
10.469   0.619
10.469   0.180
10.470   0.534
10.470   0.689
10.470   0.334
10.471   0.507
10.471   0.186
10.471   0.572
10.472   0.559
10.473   0.617
10.473   0.434
10.473   0.586
10.473   0.573
10.474   0.457
10.474   0.604
10.474   0.430
10.474   0.373
10.474   0.412
10.475   0.630
10.475   0.508
10.475   0.568
10.475   0.486
10.476   0.415
10.477   0.435
10.478   0.524
10.478   0.616
10.479   0.470
10.479   0.625
10.479   0.570
10.479   0.565
10.480   0.719
10.480   0.655
10.480   0.706
10.481   0.546
10.481   0.650
10.482   0.361
10.483   0.604
10.483   0.579
10.483   0.643
10.483   0.430
10.483   0.273
10.483   0.263
10.484   0.414
10.484   0.509
10.484   0.498
10.484   0.458
10.485   0.460
10.485   0.590
10.486   0.469
10.486   0.683
10.486   0.587
10.486   0.383
10.487   0.357
10.487   0.715
10.487   0.324
10.488   0.648
10.488   0.507
10.488   0.507
10.488   0.693
10.488   0.487
10.489   0.214
10.489   0.447
10.490   0.622
10.490   0.421
10.490   0.602
10.491   0.636
10.491   0.516
10.492   0.746
10.492   0.529
10.493   0.544
10.493   0.505
10.494   0.398
10.494   0.416
10.494   0.386
10.495   0.721
10.495   0.431
10.495   0.382
10.495   0.523
10.495   0.293
10.495   0.377
10.496   0.354
10.496   0.539
10.496   0.529
10.497   0.466
10.497   0.681
10.497   0.587
10.497   0.744
10.497   0.395
10.498   0.453
10.498   0.537
10.499   0.591
10.499   0.651
10.499   0.715
10.500   0.276
10.501   0.381
10.501   0.580
10.502   0.301
10.502   0.594
10.502   0.487
10.503   0.394
10.503   0.807
10.503   0.715
10.503   0.539
10.503   0.582
10.504   0.513
10.504   0.597
10.505   0.709
10.505   0.536
10.505   0.412
10.506   0.595
10.506   0.636
10.506   0.693
10.506   0.391
10.506   0.603
10.507   0.429
10.507   0.584
10.507   0.418
10.507   0.137
10.507   0.628
10.507   0.453
10.508   0.544
10.508   0.638
10.508   0.619
10.509   0.551
10.509   0.521
10.510   0.661
10.511   0.510
10.511   0.460
10.512   0.352
10.512   0.592
10.512   0.580
10.513   0.441
10.513   0.327
10.513   0.493
10.514   0.571
10.514   0.598
10.514   0.433
10.515   0.542
10.516   0.419
10.516   0.378
10.516   0.519
10.517   0.512
10.517   0.757
10.517   0.390
10.517   0.611
10.517   0.538
10.519   0.292
10.519   0.488
10.519   0.528
10.520   0.493
10.520   0.456
10.521   0.536
10.521   0.442
10.521   0.576
10.522   0.319
10.522   0.477
10.522   0.497
10.523   0.650
10.523   0.584
10.524   0.330
10.524   0.587
10.524   0.351
10.524   0.461
10.525   0.618
10.525   0.368
10.525   0.482
10.526   0.453
10.526   0.466
10.526   0.426
10.526   0.682
10.527   0.399
10.527   0.577
10.528   0.602
10.528   0.693
10.528   0.453
10.528   0.692
10.528   0.465
10.528   0.562
10.528   0.454
10.528   0.335
10.529   0.502
10.529   0.600
10.529   0.507
10.529   0.443
10.530   0.525
10.530   0.453
10.530   0.801
10.530   0.616
10.531   0.429
10.531   0.699
10.531   0.374
10.532   0.309
10.532   0.570
10.532   0.696
10.532   0.514
10.533   0.502
10.534   0.673
10.534   0.406
10.535   0.592
10.535   0.586
10.535   0.513
10.535   0.629
10.536   0.557
10.536   0.448
10.536   0.492
10.536   0.741
10.537   0.697
10.537   0.401
10.538   0.456
10.538   0.557
10.538   0.252
10.538   0.763
10.539   0.475
10.539   0.396
10.539   0.661
10.540   0.678
10.540   0.411
10.540   0.597
10.541   0.301
10.541   0.786
10.541   0.524
10.541   0.440
10.541   0.476
10.542   0.601
10.542   0.502
10.542   0.340
10.543   0.501
10.543   0.714
10.544   0.427
10.544   0.566
10.545   0.408
10.545   0.918
10.545   0.624
10.547   0.756
10.547   0.724
10.547   0.521
10.547   0.812
10.548   0.475
10.548   0.545
10.548   0.588
10.549   0.490
10.549   0.592
10.549   0.441
10.549   0.680
10.549   0.313
10.550   0.693
10.550   0.300
10.550   0.741
10.551   0.526
10.551   0.510
10.552   0.576
10.552   0.620
10.552   0.667
10.552   0.474
10.552   0.666
10.553   0.554
10.553   0.432
10.553   0.601
10.553   0.626
10.553   0.341
10.554   0.216
10.554   0.502
10.554   0.554
10.555   0.488
10.555   0.642
10.556   0.599
10.556   0.576
10.556   0.587
10.556   0.098
10.557   0.428
10.558   0.431
10.558   0.597
10.558   0.534
10.558   0.632
10.558   0.510
10.558   0.871
10.559   0.710
10.559   0.498
10.559   0.570
10.560   0.283
10.560   0.794
10.561   0.443
10.561   0.548
10.561   0.399
10.562   0.667
10.562   0.478
10.562   0.299
10.563   0.434
10.563   0.590
10.563   0.674
10.563   0.511
10.563   0.666
10.564   0.432
10.564   0.340
10.564   0.620
10.565   0.347
10.565   0.511
10.565   0.522
10.565   0.631
10.566   0.685
10.566   0.520
10.566   0.470
10.567   0.396
10.568   0.377
10.568   0.610
10.568   0.639
10.570   0.415
10.570   0.659
10.570   0.379
10.571   0.389
10.571   0.511
10.572   0.929
10.572   0.722
10.572   0.658
10.572   0.362
10.572   0.605
10.572   0.383
10.573   0.528
10.573   0.542
10.574   0.387
10.574   0.472
10.575   0.572
10.575   0.178
10.575   0.426
10.576   0.476
10.576   0.675
10.576   0.700
10.576   0.590
10.576   0.571
10.576   0.594
10.577   0.580
10.578   0.653
10.578   0.420
10.578   0.530
10.578   0.721
10.578   0.616
10.579   0.617
10.579   0.456
10.579   0.660
10.581   0.411
10.582   0.586
10.583   0.574
10.583   0.737
10.583   0.552
10.583   0.442
10.584   0.496
10.584   0.400
10.584   0.419
10.584   0.574
10.584   0.664
10.584   0.718
10.584   0.443
10.585   0.655
10.585   0.417
10.585   0.834
10.586   0.507
10.586   0.586
10.586   0.685
10.586   0.463
10.586   0.585
10.587   0.555
10.587   0.729
10.587   0.538
10.587   0.760
10.588   0.512
10.588   0.546
10.588   0.524
10.589   0.364
10.589   0.657
10.589   0.545
10.590   0.593
10.590   0.609
10.591   0.305
10.591   0.648
10.592   0.606
10.592   0.504
10.593   0.458
10.593   0.656
10.593   0.547
10.594   0.491
10.594   0.496
10.595   0.738
10.595   0.606
10.595   0.387
10.595   0.821
10.596   0.601
10.596   0.369
10.596   0.660
10.597   0.532
10.597   0.565
10.598   0.531
10.598   0.520
10.599   0.784
10.599   0.487
10.600   0.317
10.600   0.419
10.600   0.623
10.601   0.374
10.602   0.644
10.602   0.331
10.602   0.424
10.602   0.709
10.603   0.616
10.605   0.560
10.606   0.502
10.606   0.666
10.606   0.431
10.606   0.646
10.607   0.572
10.607   0.509
10.607   0.609
10.608   0.681
10.609   0.636
10.609   0.646
10.609   0.645
10.610   0.494
10.610   0.818
10.610   0.693
10.610   0.688
10.610   0.578
10.610   0.552
10.610   0.556
10.610   0.682
10.611   0.631
10.611   0.460
10.611   0.547
10.612   0.545
10.612   0.550
10.612   0.534
10.612   0.587
10.613   0.649
10.613   0.476
10.614   0.807
10.614   0.385
10.615   0.563
10.615   0.364
10.615   0.687
10.615   0.133
10.616   0.686
10.617   0.364
10.618   0.531
10.618   0.464
10.618   0.461
10.619   0.607
10.619   0.556
10.619   0.606
10.619   0.686
10.620   0.418
10.620   0.349
10.620   0.462
10.620   0.454
10.621   0.642
10.621   0.777
10.621   0.658
10.621   0.381
10.621   0.518
10.622   0.548
10.622   0.604
10.622   0.443
10.622   0.492
10.624   0.413
10.624   0.681
10.624   0.404
10.625   0.571
10.625   0.723
10.626   0.380
10.626   0.899
10.626   0.299
10.626   0.541
10.627   0.510
10.627   0.512
10.627   0.505
10.627   0.565
10.629   0.464
10.630   0.287
10.630   0.506
10.630   0.440
10.631   0.490
10.631   0.632
10.631   0.656
10.631   0.564
10.631   0.643
10.632   0.527
10.632   0.528
10.633   0.632
10.633   0.487
10.633   0.604
10.633   0.605
10.633   0.844
10.634   0.569
10.635   0.522
10.635   0.497
10.635   0.682
10.636   0.282
10.637   0.649
10.637   0.565
10.638   0.446
10.638   0.551
10.638   0.668
10.638   0.553
10.639   0.358
10.639   0.724
10.639   0.726
10.640   0.611
10.640   0.565
10.641   0.540
10.641   0.452
10.641   0.570
10.641   0.562
10.641   0.640
10.641   0.520
10.641   0.480
10.641   0.903
10.641   0.604
10.642   0.631
10.642   0.527
10.643   0.590
10.643   0.499
10.643   0.570
10.643   0.881
10.643   0.490
10.644   0.522
10.644   0.681
10.644   0.841
10.645   0.459
10.646   0.709
10.646   0.491
10.646   0.356
10.647   0.536
10.647   0.478
10.647   0.580
10.648   0.616
10.649   0.449
10.649   0.784
10.649   0.431
10.650   0.474
10.650   0.621
10.651   0.453
10.651   0.480
10.651   0.593
10.652   0.761
10.652   0.645
10.652   0.628
10.653   0.680
10.653   0.546
10.653   0.726
10.653   0.626
10.653   0.631
10.654   0.536
10.655   0.711
10.656   0.624
10.657   0.592
10.657   0.710
10.657   0.425
10.657   0.475
10.657   0.617
10.658   0.549
10.658   0.484
10.658   0.577
10.658   0.617
10.658   0.579
10.659   0.625
10.659   0.475
10.659   0.734
10.659   0.650
10.661   0.652
10.662   0.569
10.662   0.446
10.662   0.285
10.663   0.642
10.663   0.692
10.663   0.739
10.664   0.465
10.664   0.656
10.664   0.673
10.664   0.616
10.664   0.697
10.665   0.484
10.665   0.505
10.665   0.320
10.666   0.657
10.666   0.529
10.666   0.597
10.666   0.599
10.666   0.396
10.666   0.613
10.666   0.379
10.666   0.819
10.667   0.860
10.667   0.694
10.667   0.579
10.667   0.592
10.667   0.702
10.668   0.380
10.668   0.456
10.668   0.540
10.668   0.541
10.669   0.594
10.669   0.543
10.669   0.455
10.670   0.557
10.670   0.430
10.671   0.389
10.671   0.891
10.671   0.520
10.671   0.620
10.672   0.572
10.672   0.362
10.673   0.461
10.673   0.601
10.674   0.480
10.674   0.524
10.674   0.841
10.674   0.513
10.674   0.501
10.675   0.634
10.675   0.713
10.675   0.637
10.676   0.822
10.676   0.523
10.676   0.446
10.677   0.642
10.677   0.770
10.677   0.460
10.677   0.672
10.677   0.623
10.677   0.625
10.677   0.514
10.678   0.596
10.678   0.589
10.678   0.584
10.678   0.650
10.678   0.506
10.679   0.677
10.679   0.640
10.680   0.659
10.680   0.485
10.680   0.607
10.681   0.463
10.681   0.439
10.681   0.646
10.683   0.697
10.684   0.359
10.684   0.679
10.685   0.572
10.685   0.522
10.686   0.699
10.686   0.750
10.686   0.412
10.687   0.840
10.687   0.596
10.688   0.436
10.688   0.641
10.689   0.675
10.689   0.342
10.691   0.492
10.692   0.521
10.693   0.638
10.693   0.653
10.693   0.654
10.693   0.634
10.693   0.974
10.694   0.621
10.695   0.442
10.695   0.427
10.695   0.520
10.696   0.373
10.697   0.500
10.697   0.644
10.698   0.634
10.698   0.328
10.698   0.685
10.698   0.577
10.698   0.670
10.699   0.608
10.699   0.431
10.700   0.416
10.700   0.414
10.700   0.430
10.702   0.383
10.702   0.757
10.702   0.252
10.703   0.434
10.703   0.453
10.703   0.404
10.703   0.609
10.703   0.672
10.704   0.446
10.704   0.807
10.704   0.471
10.706   0.553
10.706   0.351
10.706   0.469
10.707   0.563
10.708   0.508
10.708   0.531
10.708   0.384
10.708   0.532
10.708   0.723
10.709   0.700
10.709   0.681
10.709   0.596
10.710   0.553
10.710   0.583
10.710   0.629
10.711   0.435
10.711   0.492
10.711   0.768
10.711   0.567
10.712   0.566
10.712   0.743
10.712   0.510
10.713   0.638
10.714   0.425
10.714   0.691
10.714   0.773
10.715   0.592
10.715   0.560
10.715   0.671
10.717   0.708
10.717   0.648
10.717   0.490
10.717   0.457
10.718   0.413
10.718   0.600
10.719   0.432
10.719   0.936
10.719   0.652
10.720   0.475
10.721   0.758
10.721   0.556
10.721   0.479
10.722   0.755
10.723   0.464
10.723   0.560
10.723   0.495
10.724   0.671
10.725   0.583
10.725   0.728
10.725   0.750
10.725   0.718
10.727   0.722
10.728   0.454
10.728   0.395
10.729   0.689
10.730   0.480
10.730   0.448
10.730   0.569
10.730   0.661
10.730   0.725
10.731   0.695
10.731   0.717
10.731   0.776
10.731   0.537
10.732   0.348
10.732   0.757
10.732   0.713
10.733   0.672
10.733   0.515
10.733   0.575
10.734   0.461
10.734   0.678
10.734   0.611
10.734   0.630
10.734   0.726
10.734   0.540
10.735   0.571
10.737   0.583
10.738   0.686
10.738   0.843
10.739   0.693
10.740   0.761
10.740   0.637
10.740   0.745
10.741   0.672
10.742   0.709
10.744   0.738
10.744   0.326
10.744   0.615
10.744   0.505
10.745   0.613
10.745   0.642
10.745   0.661
10.746   0.503
10.746   0.606
10.748   0.853
10.748   0.688
10.750   0.620
10.750   0.435
10.750   0.740
10.750   0.612
10.752   0.757
10.753   0.459
10.753   0.741
10.755   0.424
10.755   0.480
10.756   0.550
10.756   0.415
10.756   0.484
10.757   0.513
10.759   0.747
10.759   0.610
10.759   0.482
10.759   0.576
10.759   0.558
10.760   0.415
10.761   0.558
10.761   0.581
10.761   0.524
10.761   0.464
10.762   0.403
10.763   0.857
10.764   0.645
10.764   0.782
10.764   0.526
10.765   0.492
10.765   0.506
10.766   0.841
10.768   0.766
10.768   0.507
10.769   0.667
10.770   0.522
10.771   0.741
10.773   0.462
10.773   0.595
10.773   0.560
10.774   0.523
10.774   0.519
10.774   0.501
10.774   0.718
10.774   0.818
10.774   0.583
10.775   0.859
10.775   0.764
10.775   0.646
10.776   0.432
10.777   0.723
10.777   0.531
10.778   0.471
10.778   0.503
10.778   0.627
10.778   0.585
10.779   0.710
10.779   0.622
10.780   0.434
10.780   0.559
10.780   0.318
10.780   0.513
10.780   0.602
10.780   0.549
10.781   0.540
10.781   0.636
10.782   0.719
10.784   0.627
10.785   0.750
10.787   0.534
10.787   0.711
10.788   0.421
10.788   0.508
10.788   0.486
10.789   0.741
10.789   0.557
10.789   0.548
10.789   0.545
10.790   0.699
10.790   0.842
10.791   0.613
10.791   0.584
10.793   0.611
10.793   0.644
10.794   0.571
10.795   0.721
10.795   0.528
10.796   0.403
10.796   0.807
10.796   0.543
10.796   0.711
10.797   0.551
10.798   0.476
10.798   0.833
10.801   0.381
10.801   0.564
10.801   0.647
10.802   0.764
10.803   0.765
10.803   0.532
10.805   0.673
10.805   0.920
10.806   0.479
10.807   0.614
10.808   0.568
10.809   0.789
10.810   0.710
10.810   0.434
10.811   0.708
10.811   0.644
10.813   0.741
10.813   0.605
10.814   0.764
10.816   0.635
10.816   0.651
10.817   0.690
10.818   0.487
10.818   0.720
10.818   0.597
10.818   0.647
10.819   0.598
10.819   0.609
10.821   0.715
10.821   0.611
10.822   0.633
10.822   0.755
10.822   0.528
10.822   0.635
10.822   0.519
10.823   0.464
10.823   0.603
10.823   0.850
10.824   0.578
10.825   0.541
10.825   0.561
10.826   0.770
10.826   0.797
10.826   0.470
10.826   0.543
10.828   0.840
10.828   0.599
10.828   0.593
10.828   0.759
10.828   0.669
10.829   0.420
10.829   0.572
10.830   0.646
10.830   0.482
10.831   0.358
10.832   0.541
10.833   0.701
10.833   0.484
10.833   0.713
10.833   0.570
10.833   0.676
10.834   0.687
10.834   0.731
10.834   0.473
10.834   0.298
10.835   0.608
10.835   0.533
10.835   0.572
10.837   0.634
10.838   0.557
10.840   0.313
10.841   0.563
10.841   0.499
10.842   0.671
10.843   0.704
10.843   0.701
10.845   0.689
10.845   0.675
10.846   0.646
10.846   0.764
10.847   0.773
10.847   0.610
10.848   0.468
10.848   0.463
10.849   0.710
10.849   0.790
10.849   0.668
10.849   0.676
10.850   0.511
10.851   0.401
10.851   0.834
10.852   0.732
10.852   0.445
10.853   0.558
10.853   0.514
10.853   0.606
10.854   0.693
10.854   0.472
10.855   0.630
10.856   0.790
10.856   0.583
10.857   0.736
10.857   0.931
10.857   0.614
10.858   0.489
10.859   0.684
10.860   0.603
10.860   0.571
10.861   0.654
10.862   0.430
10.862   0.725
10.862   0.632
10.862   0.416
10.863   0.770
10.863   0.648
10.863   0.731
10.864   0.578
10.865   0.571
10.866   0.306
10.866   0.549
10.867   0.570
10.869   0.756
10.870   0.721
10.871   0.528
10.871   0.588
10.872   0.641
10.872   0.657
10.873   0.662
10.873   0.776
10.873   0.445
10.874   0.799
10.876   0.738
10.876   0.641
10.876   0.531
10.876   0.461
10.878   0.732
10.879   0.666
10.879   0.691
10.881   0.551
10.881   0.660
10.881   0.603
10.882   0.790
10.883   0.650
10.884   0.772
10.884   0.681
10.886   0.591
10.886   0.729
10.886   0.771
10.888   0.503
10.888   0.620
10.889   0.611
10.889   0.458
10.890   0.588
10.892   0.619
10.893   0.701
10.894   0.873
10.894   0.408
10.896   0.541
10.897   0.763
10.898   0.525
10.898   0.849
10.898   0.710
10.899   0.662
10.899   0.532
10.900   0.503
10.900   0.514
10.901   0.572
10.901   0.680
10.902   0.589
10.902   0.509
10.902   0.441
10.903   0.476
10.903   0.629
10.903   0.734
10.904   0.689
10.905   0.532
10.905   0.670
10.907   0.800
10.907   0.550
10.908   0.372
10.909   0.545
10.909   0.668
10.910   0.588
10.912   0.533
10.913   0.757
10.914   0.423
10.916   0.677
10.917   0.698
10.917   0.721
10.917   0.673
10.918   0.696
10.918   0.656
10.919   0.869
10.919   0.669
10.922   0.524
10.923   0.620
10.927   0.721
10.927   0.527
10.928   0.591
10.928   0.586
10.929   0.383
10.929   0.449
10.930   0.563
10.931   0.591
10.931   0.609
10.933   0.721
10.933   0.807
10.933   0.869
10.936   0.725
10.938   0.812
10.939   0.687
10.939   0.592
10.939   0.467
10.939   0.640
10.940   0.735
10.940   0.728
10.941   0.695
10.943   0.718
10.944   0.479
10.944   0.503
10.945   0.585
10.946   0.619
10.947   0.801
10.947   0.579
10.947   0.613
10.948   0.794
10.948   0.457
10.948   0.781
10.949   0.738
10.950   0.543
10.952   0.624
10.952   0.627
10.953   0.560
10.953   0.704
10.954   0.555
10.955   0.609
10.955   0.781
10.956   0.657
10.957   0.711
10.958   0.566
10.958   0.573
10.959   0.259
10.959   0.497
10.960   0.590
10.960   0.542
10.961   0.547
10.962   0.822
10.962   0.549
10.963   0.455
10.965   0.819
10.966   0.476
10.966   0.742
10.966   0.665
10.967   0.793
10.968   0.902
10.969   0.838
10.970   0.758
10.971   0.465
10.971   0.789
10.971   0.640
10.971   0.696
10.972   0.793
10.972   0.547
10.973   0.685
10.974   0.771
10.975   0.614
10.975   0.693
10.976   0.599
10.976   0.659
10.980   0.408
10.982   0.601
10.983   0.729
10.984   0.636
10.985   0.815
10.985   0.720
10.989   0.577
10.990   0.464
10.990   0.558
10.992   0.502
10.994   0.611
10.999   0.658
11.001   0.638
11.002   0.684
11.003   0.644
11.003   0.540
11.005   0.420
11.007   0.666
11.010   0.711
11.011   0.715
11.013   0.722
11.015   0.803
11.015   0.714
11.017   0.675
11.017   0.680
11.018   0.753
11.018   0.716
11.019   0.756
11.020   0.752
11.021   0.597
11.022   0.652
11.025   0.779
11.026   0.604
11.028   0.589
11.029   0.550
11.029   0.647
11.032   0.629
11.039   0.559
11.042   0.864
11.046   0.466
11.046   0.512
11.048   0.564
11.050   0.696
11.051   0.691
11.054   0.830
11.055   0.885
11.057   0.779
11.057   0.878
11.060   0.689
11.061   0.650
11.066   0.807
11.073   0.620
11.081   0.657
11.083   0.437
11.089   0.727
11.090   0.753
11.092   0.537
11.096   0.871
11.101   0.657
11.101   0.775
11.112   0.813
11.127   0.421
11.132   0.613
11.134   0.715
11.140   0.611
11.145   0.702
11.146   0.728
11.151   0.665
11.156   0.657
11.157   0.876
11.167   0.488
11.169   0.697
11.175   0.732
11.182   0.753
11.183   0.863
11.189   0.567
11.202   0.659
11.204   0.539
11.220   0.824
11.233   0.651
11.237   0.652
11.242   0.730
11.245   0.480
11.278   0.756
11.800   0.545
