# logMstar	medFbar		sigma_low	sigma_high
9.12   0.1978   0.0421   0.0372
9.38   0.2629   0.0379   0.0416
9.62   0.3546   0.0421   0.0441
9.88   0.4343   0.0472   0.0414
10.12   0.3755   0.0455   0.0501
10.38   0.4639   0.0451   0.0454
10.62   0.4850   0.0594   0.0615
10.88   0.4068   0.0734   0.0732
11.12   0.6485   0.1031   0.0883
